,website_path,course_title,location,holes,courses
102,https://foreupsoftware.com/index.php/booking/19227#/welcome,Nonesuch River Golf Club,"304 Gorham Rd Scarborough, ME 04074 USA ",,"[{'course_id': '1301', 'course_name': 'Nonesuch'}]"
103,https://foreupsoftware.com/index.php/booking/19597#/welcome,Oak Hills Golf Club Ltd.,"1538 Frankford-Stirling Rd Stirling, ON K0K 3E0 CA ","9, 18, Both","[{'course_id': '1890', 'course_name': 'Highland Course / Glen Course'}]"
104,https://foreupsoftware.com/index.php/booking/19156#/welcome,Oakland Golf Club,"100 N Parson Oakland, NE 68045 USA ","9, 18, Both","[{'course_id': '1188', 'course_name': 'Oakland'}]"
105,https://foreupsoftware.com/index.php/booking/19530#/welcome,Orchard Creek Golf Club,"6700 Dunnsville Road Altamont, NY 12009 USA ","9, 18, Both","[{'course_id': '1791', 'course_name': 'Orchard Creek Golf Club'}]"
106,https://foreupsoftware.com/index.php/booking/19029#/welcome,Palo Duro Creek,"50 Country Club Dr. Canyon, TX 79015 USA ",,"[{'course_id': '790', 'course_name': 'Palo Duro Creek'}]"
107,https://foreupsoftware.com/index.php/booking/19126#/welcome,Panther Creek Golf Club,"4641 State Route 1514 Utica, KY 42376 USA ","9, 18","[{'course_id': '1110', 'course_name': 'Panther Creek'}]"
108,https://foreupsoftware.com/index.php/booking/19087#/welcome,Papio Greens Golf Center,"11050 South 66th Street Papillion, NE 68133 USA ","9, 18","[{'course_id': '924', 'course_name': 'Papio Greens'}]"
109,https://foreupsoftware.com/index.php/booking/19683#/welcome,PCC-WRC,"69772 HWY 395 S PENDLETON, OR 97801 USA ","9, 18","[{'course_id': '2181', 'course_name': 'Pendleton Golf Club - WRC'}]"
110,https://foreupsoftware.com/index.php/booking/19006#/welcome,Pebble Creek Golf Club,"14000 Clubhouse Lane, PO Box 250 Becker, MN 55308 USA ",,"[{'course_id': '1680', 'course_name': 'Championship'}, {'course_id': ' 1681', 'course_name': ' Local 9'}]"
111,https://foreupsoftware.com/index.php/booking/19730#/welcome,Peninsula Golf Course,"9604 Pacific Hwy Long Beach, WA 98631 USA ",,"[{'course_id': '2314', 'course_name': 'Peninsula Golf Course'}]"
112,https://foreupsoftware.com/index.php/booking/19155#/welcome,Phoenix Lake Golf Course,"21448 Paseo de los Portales Sonora, CA 95370 USA ",9,"[{'course_id': '1187', 'course_name': 'Phoenix Lake'}]"
113,https://foreupsoftware.com/index.php/booking/19532#/welcome,Pine Dunes Resort,"159 Private Road 7019 Frankston, TX 75763 USA ",,"[{'course_id': '1794', 'course_name': 'Pine Dunes Resort'}]"
114,https://foreupsoftware.com/index.php/booking/19567#/welcome,Platteville Country Club,"6729 N Water St. P.O. Box 434 Platteville, WI 53818 USA ",,"[{'course_id': '1843', 'course_name': 'Platteville Country Club'}]"
115,https://foreupsoftware.com/index.php/booking/19194#/welcome,Players Indoor Golf & Sports Bar - Kitchener *Old,"7-1373 Victoria St., N. Kitchener, N2B 3R6 CA ",,"[{'course_id': '2364', 'course_name': 'Players Indoor Golf and Sports Bar - Kitchener'}]"
