Website Path,Course Title,Location,Courses Values,Courses,Holes
https://foreupsoftware.com/index.php/booking/19832#/welcome,Rolling Fields Golf Club (OLD),"4138 Hankey Church Road Murrysville, PA 15668 USA ","2586, 2622, 2623","Rolling Fields Golf Club, Simulator 1, Simulator 2","9, 18"
https://foreupsoftware.com/index.php/booking/19772#/welcome,Rolling Hills Golf Course (AZ),"8900 E. 29th St. Tucson, AZ 85710 USA ",2465,Rolling Hills Golf Course,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19851#/welcome,Rooster Run Golf Club,"2301 East Washington St Petaluma, CA 94954 USA ",2677,Rooster Run,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19410#/welcome,Rotonda Golf & Country Club: Pinemoor Golf Course,"80 Clubhouse RD Rotonda, FL 33947 USA ",1585,Pinemoor,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19411#/welcome,Rotonda Golf & Country Club: The Palms Golf Course,"266 B Rotonda Circle Rotonda West, FL 33947 USA ",1586,The Palms,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19486#/welcome,Salem Country Club (OLD),"700 Divot Drive Salem, IL 62881 USA ",1734,Salem Country Club,
https://foreupsoftware.com/index.php/booking/19129#/welcome,Salmon Run Golf Course,"99040 South Bank Chetco River Rd. Brookings, OR 97415 USA ",1117,Salmon Run GC,
https://foreupsoftware.com/index.php/booking/19954#/welcome,Sand Creek Golf Course,"5200 S 25th E Idaho Falls, ID 83404 USA ",3062,Sand Creek,
https://foreupsoftware.com/index.php/booking/19071#/welcome,Sandy Burr Country Club,"88 Cochituate Rd Wayland, MA 01778 USA ",884,Sandy Burr,18
https://foreupsoftware.com/index.php/booking/19229#/welcome,Sanford Country Club,"588 Country Club Road, Route 4 Sanford, ME 04073 USA ",1303,Sanford,
https://foreupsoftware.com/index.php/booking/19203#/welcome,Setup Training Account 7,"8675309 Chicago Way Bettendorf , IA 52722 USA ","2347, 2350","Carolina Club, The Pointe Golf Club","9, 18"
https://foreupsoftware.com/index.php/booking/19461#/welcome,Seven Hills Golf Course,"1537 S. Lyon Ave Hemet, CA 92584 USA ","968, 954, 1676","Palms Course, Lakes Course, Seven Hills Golf Course","9, 18, Both"
https://foreupsoftware.com/index.php/booking/19639#/welcome,Seven Hills Golfers Club,"10599 Fairchild Road Spring Hill, FL 34608 USA ",1996,Seven Hills Golfers Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19072#/welcome,Shamrock Golf Course,"19625 Larkin Road Corcoran, MN 55340 USA ",886,Shamrock Golf Course,
https://foreupsoftware.com/index.php/booking/19074#/welcome,Sherwood Forest Golf Course,"N580 Robinhood Drive Sherwood, WI 54169 USA ",888,Sherwood Forest Golf Club,9
https://foreupsoftware.com/index.php/booking/19333#/welcome,Short Beach Golf Course,"One Dorne Drive Stratford, CT 06615 USA ",1450,Short Beach,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19328#/welcome,Skyway Golf Course,"432 Country Club Dr Tremonton, UT 84337 USA ","9785, 1441","Sim 2024, Skyway",
https://foreupsoftware.com/index.php/booking/19052#/welcome,Smock Golf Course,"3910 East County Line Road Indianapolis, IN 46237 USA ",922,Smock GC,
https://foreupsoftware.com/index.php/booking/19620#/welcome,Soule Park Golf Course,"1033 E. Ojai Avenue OJAI, CA 93023 USA ",1945,Soule Park Golf Course,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19141#/welcome,Spring Lakes Golf Club,"1591 Springplace Smyrna Rd Chatsworth, GA 30705 USA ","9842, 1153","Simulator, Spring Lakes",
https://foreupsoftware.com/index.php/booking/19750#/welcome,St. Albans Golf Club,"3833 Northridge Rd. Alexandria, OH 43001 USA ",2392,St. Albans Golf Club,
https://foreupsoftware.com/index.php/booking/19485#/welcome,St. Andrews Golf Club (Old),"8799 Edinburg Dr Winston, GA 30187 USA ",1733,St. Andrews Golf Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19829#/welcome,Stix Golf Entertainment,"W164 N11271 Squire Dr Germantown, WI 53022 USA ",2589,Stix Golf,
https://foreupsoftware.com/index.php/booking/19217#/welcome,StonyCreek Golf Club,"11800 E 166th Street Noblesville, IN 46060 USA ","7873, 7874, 1291","Simulator 1, Simulator 2, StonyCreek Golf Club","9, 18"
https://foreupsoftware.com/index.php/booking/19741#/welcome,Sugar Lake Lodge,"37584 Otis Lane Cohasset, MN 55721 USA ",2360,Sugarbrooke G.C.,
https://foreupsoftware.com/index.php/booking/19311#/welcome,SugarTree Golf Club,"251 SugarTree Drive Lipan, TX 76462 USA ",1422,"SugarTree Golf Club, Lipan, TX",
https://foreupsoftware.com/index.php/booking/19449#/welcome,Tahoe City Golf Course,"251 N Lake Blvd Tahoe City, CA 96145 USA ","1659, 5577","Tahoe City Golf Course, WSP Ice Rink",
https://foreupsoftware.com/index.php/booking/19027#/welcome,Talons Cove Golf Course,"2220 South Talons Cove Drive Saratoga Springs, UT 84045 USA ",788,TalonsCove,
https://foreupsoftware.com/index.php/booking/19889#/welcome,Test Course 2," , USA ",2834,Test Course 2,"9, 18"
https://foreupsoftware.com/index.php/booking/19645#/welcome,Thanksgiving Point Golf Club,"3300 West Club House Dr Lehi, UT 84043 USA ",2034,Thanksgiving Point Golf Course,
https://foreupsoftware.com/index.php/booking/19433#/welcome,The 500 Club,"4707 W. Pinnacle Peak Rd. Glendale, AZ 85310 USA ","1612, 1616","The 500 Club, The Futures Course","9, 18, Both"
